"PricePerNight","Region","UserIncome","Booked?","Nights"
329,"Las Vegas",113208,1,2
555,"Miami",179905,1,1
384,"New York",189653,1,5
597,"Miami",165597,1,5
623,"Washington",140525,0,0
221,"Chicago",82470,1,3
438,"Washington",45518,1,5
602,"Miami",68625,0,0
448,"Miami",158447,1,2
405,"Miami",29423,1,3
631,"Las Vegas",151132,0,0
404,"Chicago",99229,1,5
505,"Las Vegas",43426,0,0
458,"Hawaii",189777,1,4
246,"Las Vegas",30265,1,1
605,"Miami",167895,1,3
311,"Hawaii",113344,1,2
219,"Washington",135383,1,5
348,"Miami",66902,1,5
630,"Miami",58742,0,0
600,"Washington",138411,1,1
512,"Hawaii",30290,0,0
488,"Hawaii",117126,1,5
647,"New York",192229,1,2
495,"New York",192839,1,4
519,"Washington",87995,1,4
445,"Chicago",190971,1,3
467,"Las Vegas",27957,0,0
330,"Las Vegas",149335,1,4
266,"Las Vegas",98017,1,4
633,"Washington",69180,0,0
606,"Hawaii",128137,1,5
511,"Las Vegas",38149,0,0
558,"Las Vegas",64664,0,0
211,"Chicago",77031,0,0
415,"New York",30412,1,3
541,"New York",44525,1,1
297,"Chicago",129893,1,2
343,"Hawaii",165192,1,5
304,"New York",165536,1,5
264,"Las Vegas",69684,1,2
387,"Miami",158707,1,1
386,"Washington",130800,1,1
366,"Chicago",93106,0,0
269,"Miami",152822,1,5
262,"Washington",195066,1,5
305,"Las Vegas",175395,1,3
410,"Miami",58193,0,0
320,"Washington",172661,1,4
586,"New York",111449,1,4
221,"Chicago",103684,1,1
399,"Miami",171055,1,4
560,"Las Vegas",122783,1,3
255,"Miami",88132,1,1
452,"Las Vegas",79458,0,0
293,"Miami",126491,1,3
257,"New York",119875,1,4
539,"Chicago",186564,1,2
603,"New York",34075,0,0
369,"Las Vegas",110551,1,2
499,"Miami",37702,0,0
243,"New York",79527,1,5
373,"Las Vegas",145744,1,2
323,"Las Vegas",73695,1,3
567,"New York",116720,0,0
402,"New York",95799,0,0
565,"Hawaii",125824,0,0
566,"New York",83033,0,0
557,"Miami",46569,0,0
398,"Las Vegas",144387,1,3
540,"Miami",132211,1,4
483,"Miami",71987,0,0
520,"Washington",198474,1,5
200,"Las Vegas",59832,0,0
414,"Washington",183413,1,1
299,"New York",108118,1,5
371,"Miami",77012,1,2
476,"Washington",153962,0,0
358,"Hawaii",55620,1,5
250,"Las Vegas",118067,1,4
310,"Chicago",188091,1,2
501,"Miami",103705,0,0
388,"Hawaii",128251,1,4
555,"Las Vegas",110232,0,0
246,"Miami",76049,1,5
396,"Washington",139164,1,1
643,"New York",33250,1,4
602,"Miami",43704,0,0
599,"Las Vegas",81036,1,2
279,"New York",83508,0,0
259,"Miami",50009,0,0
494,"New York",122475,1,1
355,"Miami",34527,1,1
496,"Las Vegas",153757,0,0
344,"Las Vegas",155168,1,2
284,"Miami",53846,1,1
552,"Washington",160100,0,0
242,"Chicago",55723,1,3
410,"Chicago",147384,1,3
430,"Las Vegas",66176,1,5
470,"New York",128761,0,0
350,"Chicago",47314,0,0
420,"Hawaii",57964,1,1
630,"New York",77709,0,0
417,"Las Vegas",139943,1,5
601,"Las Vegas",175960,1,1
611,"Hawaii",161407,1,5
474,"Hawaii",46367,0,0
385,"New York",126217,0,0
266,"Hawaii",164211,1,4
621,"Miami",197083,1,1
336,"Hawaii",164721,1,5
227,"Hawaii",67947,1,2
626,"Hawaii",160591,1,4
524,"New York",154943,1,2
264,"Miami",116794,1,4
447,"Miami",32126,0,0
629,"Washington",44124,1,2
463,"Washington",199379,1,4
382,"Las Vegas",127217,1,3
492,"New York",61554,0,0
344,"Las Vegas",128045,1,2
338,"Miami",42727,0,0
299,"Las Vegas",124872,1,4
366,"Miami",55490,1,1
643,"Chicago",194402,1,5
269,"Las Vegas",129530,1,1
241,"Washington",83388,1,3
264,"Las Vegas",51490,1,2
511,"Las Vegas",128893,1,1
479,"Las Vegas",76991,1,3
601,"Chicago",113941,0,0
503,"Miami",129122,0,0
532,"New York",186109,1,2
435,"Washington",95650,0,0
497,"Las Vegas",29652,0,0
570,"Miami",116592,1,1
554,"Hawaii",75614,0,0
641,"Hawaii",55906,1,3
398,"New York",83720,1,3
340,"Miami",77111,1,1
384,"Chicago",179376,1,5
205,"Hawaii",79776,1,3
283,"New York",114138,1,3
579,"Hawaii",191084,0,0
304,"Miami",41956,1,5
308,"Chicago",88850,1,5
235,"Washington",130027,1,1
311,"Miami",70231,0,0
529,"Las Vegas",135007,1,5
581,"Miami",156897,0,0
424,"New York",107509,0,0
375,"Miami",164839,1,4
311,"New York",83306,0,0
250,"Hawaii",114907,1,5
375,"Las Vegas",36253,1,3
457,"Chicago",170470,1,1
298,"Hawaii",126823,1,1
400,"Las Vegas",66606,1,1
298,"Las Vegas",41859,0,0
426,"Chicago",184625,1,2
359,"Hawaii",160075,0,0
492,"Miami",61194,1,2
369,"Las Vegas",150656,1,3
360,"New York",161324,1,1
440,"Miami",86079,0,0
533,"New York",66818,0,0
299,"New York",189500,1,2
386,"Hawaii",183407,1,5
320,"Chicago",178287,1,4
483,"Chicago",111096,1,4
283,"Hawaii",35837,0,0
589,"Hawaii",50774,0,0
536,"Chicago",65910,0,0
501,"Chicago",82761,0,0
478,"Miami",151184,1,2
368,"Washington",131615,1,4
438,"Washington",28602,1,1
594,"Washington",114312,1,1
462,"Miami",153792,1,2
578,"Miami",33208,0,0
341,"Chicago",194929,1,3
519,"Chicago",183169,1,2
319,"Hawaii",123809,0,0
467,"New York",105564,1,5
417,"Washington",173076,1,3
319,"New York",32142,0,0
454,"Chicago",185594,0,0
611,"New York",154198,0,0
606,"Chicago",64444,0,0
323,"Washington",80341,0,0
345,"Chicago",59897,1,1
644,"New York",156220,1,1
479,"Las Vegas",151920,1,5
622,"Washington",154763,1,3
410,"Hawaii",45424,1,1
383,"Hawaii",32636,0,0
497,"Hawaii",41663,1,1
269,"Chicago",151941,1,4
458,"New York",37311,1,2
307,"Miami",76702,1,2
633,"Washington",137964,0,0
471,"Miami",85430,1,2
432,"New York",94936,1,1
381,"Washington",113444,0,0
596,"Washington",194714,1,2
364,"Las Vegas",129018,1,4
330,"Chicago",102861,1,4
277,"Washington",104606,1,4
277,"Miami",123146,1,5
417,"Washington",159611,1,1
314,"Washington",48394,0,0
297,"Las Vegas",39853,0,0
503,"Las Vegas",86841,0,0
221,"Washington",76058,1,2
515,"Las Vegas",189072,0,0
358,"Washington",130773,1,1
384,"New York",122485,0,0
569,"Chicago",115895,0,0
613,"Miami",37024,0,0
327,"Washington",186943,0,0
632,"Chicago",92560,0,0
528,"Hawaii",114474,1,3
509,"New York",35081,0,0
224,"Miami",179149,1,5
378,"Las Vegas",28491,1,1
415,"Hawaii",33315,0,0
452,"Las Vegas",33502,0,0
514,"New York",108756,1,4
612,"New York",37516,0,0
478,"Las Vegas",117586,1,5
393,"Chicago",166281,1,2
444,"Washington",50492,1,4
226,"Las Vegas",43312,0,0
317,"Hawaii",189992,1,1
379,"New York",112601,1,4
289,"Washington",72085,1,5
574,"Miami",182569,0,0
269,"Hawaii",146811,1,3
562,"Miami",94024,0,0
446,"Washington",172588,1,2
498,"Hawaii",100185,1,1
277,"Chicago",194742,1,1
485,"Washington",86943,0,0
340,"New York",145940,1,3
526,"Hawaii",86650,0,0
380,"Miami",83977,0,0
636,"Miami",68806,0,0
635,"Hawaii",26045,0,0
527,"New York",192061,1,1
316,"Miami",117581,1,3
300,"New York",185459,1,2
467,"New York",87030,0,0
320,"Miami",96026,0,0
439,"Hawaii",165746,1,3
553,"Hawaii",46466,0,0
276,"New York",188534,0,0
382,"Washington",184784,1,1
412,"Chicago",34161,1,4
591,"Miami",160133,0,0
617,"Washington",122258,1,4
597,"Hawaii",95815,0,0
503,"New York",53867,1,2
628,"Washington",197373,0,0
432,"Las Vegas",176308,1,3
459,"Washington",46839,0,0
351,"Hawaii",112881,1,4
356,"Chicago",169462,0,0
209,"Hawaii",145314,1,2
426,"Chicago",32449,0,0
592,"Las Vegas",89350,0,0
203,"Las Vegas",100135,1,1
232,"Chicago",186727,1,2
274,"Washington",127432,1,1
547,"Las Vegas",39392,0,0
531,"New York",157909,1,2
637,"Miami",176647,1,5
410,"Miami",126331,1,1
233,"Washington",196799,0,0
492,"Las Vegas",81881,1,5
541,"New York",161442,1,4
262,"Chicago",73949,1,4
378,"Washington",99961,1,1
301,"New York",129081,0,0
226,"New York",86637,1,5
378,"Chicago",154079,1,1
229,"Miami",101130,1,1
302,"Las Vegas",144054,1,3
225,"Miami",118050,1,1
502,"New York",100053,1,4
334,"Washington",138244,1,2
245,"Las Vegas",85326,1,4
232,"Hawaii",190033,1,5
596,"Washington",41311,0,0
539,"Washington",140285,0,0
567,"Washington",130621,1,1
642,"Las Vegas",132890,1,3
247,"Las Vegas",150513,1,2
245,"New York",142044,1,1
559,"New York",40402,0,0
553,"Miami",181358,1,3
204,"Washington",158141,1,1
551,"Las Vegas",177748,1,2
528,"Miami",197432,0,0
484,"Chicago",74865,0,0
416,"Hawaii",168307,1,4
270,"Hawaii",120582,0,0
204,"Miami",37301,1,1
404,"Miami",93297,1,2
422,"Las Vegas",181963,1,1
375,"Miami",63513,1,5
409,"Hawaii",115643,1,1
521,"Las Vegas",81812,0,0
225,"Hawaii",132661,0,0
360,"Hawaii",116875,1,3
561,"New York",111876,0,0
576,"Las Vegas",31866,0,0
307,"Las Vegas",47891,0,0
359,"Las Vegas",120382,0,0
586,"Chicago",36961,0,0
584,"Hawaii",32091,1,1
333,"Hawaii",186174,1,2
266,"Washington",112101,1,5
517,"Chicago",87025,1,3
247,"Miami",66300,0,0
215,"Washington",64606,1,4
650,"Washington",71595,0,0
216,"Chicago",69115,1,3
352,"Miami",63830,0,0
612,"Miami",189397,1,1
478,"Las Vegas",59132,0,0
329,"New York",65505,0,0
532,"Washington",170314,1,1
575,"Washington",29316,0,0
341,"New York",81246,0,0
422,"Las Vegas",136914,1,4
514,"Washington",116091,0,0
489,"Las Vegas",104439,1,5
490,"Chicago",171842,1,5
640,"Washington",67481,1,4
387,"Miami",124144,1,1
254,"New York",46450,1,5
437,"Las Vegas",119195,1,1
301,"Miami",56979,1,4
419,"Washington",50417,1,1
367,"Miami",50491,0,0
643,"Hawaii",161165,1,2
375,"Miami",53487,0,0
303,"Las Vegas",185160,1,4
480,"Hawaii",149974,0,0
261,"Hawaii",146260,1,3
635,"New York",159634,1,1
432,"New York",85133,0,0
273,"Hawaii",115735,1,4
480,"New York",158045,1,3
644,"New York",62305,0,0
501,"Las Vegas",25954,1,2
389,"Miami",190993,1,2
346,"Hawaii",70189,1,3
576,"New York",108746,0,0
265,"New York",118005,1,4
287,"Chicago",51178,1,1
604,"New York",196637,1,5
339,"Las Vegas",182965,1,4
363,"Chicago",46681,1,1
553,"New York",174002,1,1
287,"Washington",65737,0,0
208,"New York",159671,1,5
383,"Miami",78532,0,0
417,"Miami",74396,0,0
390,"Miami",79155,0,0
354,"Hawaii",153954,1,2
590,"Chicago",128007,1,1
405,"Miami",59330,0,0
440,"Las Vegas",140450,1,1
634,"Hawaii",103779,0,0
549,"Miami",77935,0,0
294,"Washington",84767,1,5
339,"New York",119389,0,0
637,"Chicago",168502,0,0
463,"Las Vegas",120455,1,2
542,"Miami",114815,1,1
368,"Chicago",53602,0,0
546,"Hawaii",53980,0,0
442,"Chicago",38211,0,0
611,"Chicago",72560,0,0
283,"Las Vegas",128029,1,2
327,"Hawaii",76219,0,0
243,"Chicago",104950,1,1
295,"Washington",194370,1,5
640,"Miami",103735,0,0
333,"Miami",117795,1,1
527,"Las Vegas",190477,1,1
554,"Chicago",103227,1,4
247,"Las Vegas",173133,1,3
308,"Miami",93886,0,0
322,"New York",145329,0,0
245,"Chicago",104637,1,5
253,"Las Vegas",39033,0,0
646,"Washington",106244,1,5
644,"New York",54723,0,0
262,"Washington",29640,0,0
607,"Las Vegas",187293,0,0
459,"New York",103071,1,3
378,"Las Vegas",181891,1,3
402,"Miami",147243,1,3
518,"Chicago",36493,1,5
237,"Miami",63767,1,3
353,"Las Vegas",164306,1,2
506,"Hawaii",92699,1,3
343,"New York",61676,1,1
574,"Hawaii",48660,0,0
297,"Las Vegas",188894,1,2
424,"New York",166604,1,4
324,"Washington",102036,0,0
286,"New York",63432,1,3
628,"Miami",147166,1,2
345,"New York",170897,1,2
415,"Las Vegas",184534,1,5
213,"Las Vegas",78735,0,0
446,"New York",177919,1,3
490,"Chicago",67022,0,0
468,"Miami",106658,1,3
345,"New York",193311,1,2
601,"Miami",179034,1,2
482,"Chicago",123259,0,0
336,"Miami",70966,1,5
375,"New York",185818,1,5
272,"Miami",133883,1,1
588,"New York",186362,0,0
629,"Miami",76389,1,3
454,"Washington",152241,0,0
348,"Hawaii",139943,1,5
648,"Las Vegas",53985,0,0
306,"Washington",41425,0,0
476,"New York",66714,0,0
249,"Washington",151910,1,5
419,"Hawaii",182664,1,1
245,"Hawaii",181125,1,5
273,"Miami",47815,0,0
327,"Hawaii",182395,1,5
463,"Miami",37865,0,0
529,"Miami",103161,1,1
274,"Chicago",33780,0,0
590,"New York",198400,0,0
519,"Chicago",123618,1,1
542,"Las Vegas",75033,1,2
